ensemble,model,member,grid,ssp,method
NEX-GDDP,EC-Earth3,r1i1p1f1,gr,ssp585,NEX-GDDP
NEX-GDDP,EC-Earth3,r1i1p1f1,gr,ssp370,NEX-GDDP
NEX-GDDP,EC-Earth3,r1i1p1f1,gr,ssp126,NEX-GDDP
NEX-GDDP,BCC-CSM2-MR,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,BCC-CSM2-MR,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,BCC-CSM2-MR,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,BCC-CSM2-MR,r1i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,BCC-CSM2-MR,r1i1p1f1,gn,ssp126,NEX-GDDP
NEX-GDDP,MPI-ESM1-2-HR,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,MPI-ESM1-2-HR,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,MPI-ESM1-2-HR,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,MPI-ESM1-2-HR,r1i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,MPI-ESM1-2-HR,r1i1p1f1,gn,ssp126,NEX-GDDP
NEX-GDDP,TaiESM1,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,TaiESM1,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,TaiESM1,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,TaiESM1,r1i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,TaiESM1,r1i1p1f1,gn,ssp126,NEX-GDDP
NEX-GDDP,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp245,NEX-GDDP
NEX-GDDP,HadGEM3-GC31-LL,r1i1p1f3,gn,historical,NEX-GDDP
NEX-GDDP,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp585,NEX-GDDP
NEX-GDDP,HadGEM3-GC31-LL,r1i1p1f3,gn,ssp126,NEX-GDDP
NEX-GDDP,CNRM-CM6-1,r1i1p1f2,gr,ssp245,NEX-GDDP
NEX-GDDP,CNRM-CM6-1,r1i1p1f2,gr,historical,NEX-GDDP
NEX-GDDP,CNRM-CM6-1,r1i1p1f2,gr,ssp585,NEX-GDDP
NEX-GDDP,CNRM-CM6-1,r1i1p1f2,gr,ssp370,NEX-GDDP
NEX-GDDP,CNRM-CM6-1,r1i1p1f2,gr,ssp126,NEX-GDDP
NEX-GDDP,FGOALS-g3,r3i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,FGOALS-g3,r3i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,FGOALS-g3,r3i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,FGOALS-g3,r3i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,FGOALS-g3,r3i1p1f1,gn,ssp126,NEX-GDDP
NEX-GDDP,HadGEM3-GC31-MM,r1i1p1f3,gn,historical,NEX-GDDP
NEX-GDDP,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,NEX-GDDP
NEX-GDDP,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp126,NEX-GDDP
NEX-GDDP,CMCC-CM2-SR5,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,CMCC-CM2-SR5,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,MIROC6,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,MIROC6,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,MIROC6,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,MIROC6,r1i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,MIROC6,r1i1p1f1,gn,ssp126,NEX-GDDP
NEX-GDDP,CNRM-ESM2-1,r1i1p1f2,gr,ssp245,NEX-GDDP
NEX-GDDP,CNRM-ESM2-1,r1i1p1f2,gr,historical,NEX-GDDP
NEX-GDDP,CNRM-ESM2-1,r1i1p1f2,gr,ssp585,NEX-GDDP
NEX-GDDP,CNRM-ESM2-1,r1i1p1f2,gr,ssp370,NEX-GDDP
NEX-GDDP,CNRM-ESM2-1,r1i1p1f2,gr,ssp126,NEX-GDDP
NEX-GDDP,NorESM2-MM,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,NorESM2-MM,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,NorESM2-MM,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,NorESM2-MM,r1i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,NorESM2-MM,r1i1p1f1,gn,ssp126,NEX-GDDP
NEX-GDDP,MRI-ESM2-0,r1i1p1f1,gn,ssp245,NEX-GDDP
NEX-GDDP,MRI-ESM2-0,r1i1p1f1,gn,historical,NEX-GDDP
NEX-GDDP,MRI-ESM2-0,r1i1p1f1,gn,ssp585,NEX-GDDP
NEX-GDDP,MRI-ESM2-0,r1i1p1f1,gn,ssp370,NEX-GDDP
NEX-GDDP,MRI-ESM2-0,r1i1p1f1,gn,ssp126,NEX-GDDP
LOCA2,AWI-CM-1-1-MR,r2i1p1f1,0,historical,LOCA2
LOCA2,AWI-CM-1-1-MR,r2i1p1f1,0,ssp370,LOCA2
LOCA2,AWI-CM-1-1-MR,r5i1p1f1,0,historical,LOCA2
LOCA2,AWI-CM-1-1-MR,r5i1p1f1,0,ssp370,LOCA2
LOCA2,AWI-CM-1-1-MR,r1i1p1f1,0,ssp245,LOCA2
LOCA2,AWI-CM-1-1-MR,r1i1p1f1,0,historical,LOCA2
LOCA2,AWI-CM-1-1-MR,r1i1p1f1,0,ssp585,LOCA2
LOCA2,AWI-CM-1-1-MR,r1i1p1f1,0,ssp370,LOCA2
LOCA2,AWI-CM-1-1-MR,r4i1p1f1,0,historical,LOCA2
LOCA2,AWI-CM-1-1-MR,r4i1p1f1,0,ssp370,LOCA2
LOCA2,AWI-CM-1-1-MR,r3i1p1f1,0,historical,LOCA2
LOCA2,AWI-CM-1-1-MR,r3i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r2i1p1f1,0,ssp245,LOCA2
LOCA2,IPSL-CM6A-LR,r2i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r2i1p1f1,0,ssp585,LOCA2
LOCA2,IPSL-CM6A-LR,r2i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r5i1p1f1,0,ssp245,LOCA2
LOCA2,IPSL-CM6A-LR,r5i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r5i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r1i1p1f1,0,ssp245,LOCA2
LOCA2,IPSL-CM6A-LR,r1i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r1i1p1f1,0,ssp585,LOCA2
LOCA2,IPSL-CM6A-LR,r1i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r4i1p1f1,0,ssp245,LOCA2
LOCA2,IPSL-CM6A-LR,r4i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r4i1p1f1,0,ssp585,LOCA2
LOCA2,IPSL-CM6A-LR,r4i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r3i1p1f1,0,ssp245,LOCA2
LOCA2,IPSL-CM6A-LR,r3i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r3i1p1f1,0,ssp585,LOCA2
LOCA2,IPSL-CM6A-LR,r3i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r9i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r9i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r8i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r8i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r10i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r10i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r7i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r7i1p1f1,0,ssp370,LOCA2
LOCA2,IPSL-CM6A-LR,r6i1p1f1,0,historical,LOCA2
LOCA2,IPSL-CM6A-LR,r6i1p1f1,0,ssp370,LOCA2
LOCA2,ACCESS-CM2,r2i1p1f1,0,ssp245,LOCA2
LOCA2,ACCESS-CM2,r2i1p1f1,0,historical,LOCA2
LOCA2,ACCESS-CM2,r2i1p1f1,0,ssp585,LOCA2
LOCA2,ACCESS-CM2,r2i1p1f1,0,ssp370,LOCA2
LOCA2,ACCESS-CM2,r1i1p1f1,0,ssp245,LOCA2
LOCA2,ACCESS-CM2,r1i1p1f1,0,historical,LOCA2
LOCA2,ACCESS-CM2,r1i1p1f1,0,ssp585,LOCA2
LOCA2,ACCESS-CM2,r1i1p1f1,0,ssp370,LOCA2
LOCA2,ACCESS-CM2,r3i1p1f1,0,ssp245,LOCA2
LOCA2,ACCESS-CM2,r3i1p1f1,0,historical,LOCA2
LOCA2,ACCESS-CM2,r3i1p1f1,0,ssp585,LOCA2
LOCA2,ACCESS-CM2,r3i1p1f1,0,ssp370,LOCA2
LOCA2,INM-CM5-0,r2i1p1f1,0,historical,LOCA2
LOCA2,INM-CM5-0,r2i1p1f1,0,ssp370,LOCA2
