Land_ID,Group,Priority,L_ini,L_dev,L_mid,L_late,Kci,Kcm,Kce,RootDepth,CropDepletionFactor,LandFracTS,LandFracTS_Dom,Kc_TS,AddedWaterTS,CropFracFile,PlantDayFile,SeasonLengthFile
Barley_1,Rainfed,45,0.15,0.25,0.4,0.2,0.3,1.15,0.25,1500,0,PATH_HERE/data_init/individual_crop/CDL-US-M_barley_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_barley_1_rfd_Kc.init,,,,
Rye_1,Rainfed,47,0.1,0.6,0.2,0.1,0.4,1.15,0.3,1600,0,PATH_HERE/data_init/individual_crop/CDL-US-M_rye_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_rye_1_rfd_Kc.init,,,,
Rye_2,Rainfed,48,0.1,0.6,0.2,0.1,0.4,1.15,0.3,1600,0,PATH_HERE/data_init/individual_crop/CDL-US-M_rye_2_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_rye_2_rfd_Kc.init,,,,
Millet_1,Rainfed,49,0.14,0.22,0.4,0.24,0.3,1,0.3,1800,0,PATH_HERE/data_init/individual_crop/CDL-US-M_millet_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_millet_1_rfd_Kc.init,,,,
Sorghum_1,Rainfed,50,0.15,0.28,0.33,0.24,0.3,1.1,0.55,1800,0,PATH_HERE/data_init/individual_crop/CDL-US-M_sorghum_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_sorghum_1_rfd_Kc.init,,,,
Sorghum_2,Rainfed,51,0.15,0.28,0.33,0.24,0.3,1.1,0.55,1800,0,PATH_HERE/data_init/individual_crop/CDL-US-M_sorghum_2_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_sorghum_2_rfd_Kc.init,,,,
Soybeans_1,Rainfed,52,0.15,0.2,0.45,0.2,0.4,1.15,0.5,1300,0,PATH_HERE/data_init/individual_crop/CDL-US-M_soybeans_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_soybeans_1_rfd_Kc.init,,,,
Sunflower_1,Rainfed,53,0.19,0.27,0.35,0.19,0.35,1.1,0.25,1500,0,PATH_HERE/data_init/individual_crop/CDL-US-M_sunflower_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_sunflower_1_rfd_Kc.init,,,,
Potatoes_1,Rainfed,54,0.2,0.25,0.35,0.2,1.15,0.5,0.4,600,0,PATH_HERE/data_init/individual_crop/CDL-US-M_potatoes_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_potatoes_1_rfd_Kc.init,,,,
Sugarcane_1,Rainfed,57,0,0,1,0,0,0.9,0,650,0,PATH_HERE/data_init/individual_crop/CDL-US-M_sugarcane_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_sugarcane_1_rfd_Kc.init,,,,
Sugarbeet_1,Rainfed,58,0.2,0.25,0.35,0.2,0.35,1.2,0.8,550,0,PATH_HERE/data_init/individual_crop/CDL-US-M_sugarbeet_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_sugarbeet_1_rfd_Kc.init,,,,
Canola_1,Rainfed,60,0.3,0.25,0.3,0.15,0.35,1.1,0.35,600,0,PATH_HERE/data_init/individual_crop/CDL-US-M_canola_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_canola_1_rfd_Kc.init,,,,
Groundnuts_1,Rainfed,61,0.22,0.28,0.3,0.2,0.4,1.15,0.6,500,0,PATH_HERE/data_init/individual_crop/CDL-US-M_groundnuts_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_groundnuts_1_rfd_Kc.init,,,,
Pulses_1,Rainfed,62,0.18,0.27,0.35,0.2,0.45,1.1,0.6,450,0,PATH_HERE/data_init/individual_crop/CDL-US-M_pulses_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_pulses_1_rfd_Kc.init,,,,
Citrus_1,Rainfed,63,0.16,0.25,0.33,0.26,0.8,0.8,0.8,500,0,PATH_HERE/data_init/individual_crop/CDL-US-M_citrus_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_citrus_1_rfd_Kc.init,,,,
Vine_1,Rainfed,65,0.3,0.14,0.2,0.36,0.3,0.8,0.3,400,0,PATH_HERE/data_init/individual_crop/CDL-US-M_vine_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_vine_1_rfd_Kc.init,,,,
Cotton_1,Rainfed,66,0.17,0.33,0.25,0.25,0.35,1.18,0.6,650,0,PATH_HERE/data_init/individual_crop/CDL-US-M_cotton_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_cotton_1_rfd_Kc.init,,,,
Others_perennial_1,Rainfed,69,0,0,1,0,1,1,1,500,0,PATH_HERE/data_init/individual_crop/CDL-US-M_othersPerennial_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersPerennial_1_rfd_Kc.init,,,,
Fodder_grasses_1,Rainfed,70,0,0,1,0,1,1,1,550,0,PATH_HERE/data_init/individual_crop/CDL-US-M_fodderGrasses_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_fodderGrasses_1_rfd_Kc.init,,,,
Others_annual_1,Rainfed,71,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_1_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_1_rfd_Kc.init,,,,
Others_annual_2,Rainfed,72,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_2_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_2_rfd_Kc.init,,,,
Others_annual_3,Rainfed,73,0.15,0.25,0.4,0.2,0.4,1.05,0.5,550,0,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_3_rfd_fr.init,,PATH_HERE/data_init/individual_crop/CDL-US-M_othersAnnual_3_rfd_Kc.init,,,,
,,,,,,,,,,,,,,,,,,
Fallow,Fallow,74,,,,,,,,,,PATH_HERE/data_init/CDL-US-M_fallow_fr.init,,,,,,
Dom_ID,Other,,,,,,,,,,,,,,,,,
Rice_crop,Irrigated_av,1,,,,,,,,PATH_HERE/data_init/CDL-US-M_rice_irr_awCap_av.init,PATH_HERE/data_init/CDL-US-M_rice_irr_CDF_av.init,PATH_HERE/data_init/CDL-US-M_rice_irr_fr.init_av.init,,PATH_HERE/data_init/CDL-US-M_rice_irr_Kc.init_av.init,PATH_HERE/data_init/CDL-US-M_rice_irr_AddedWater_av.init,,,
Non_rice_crop,Irrigated_av,2,,,,,,,,PATH_HERE/data_init/CDL-US-M_nonrice_irr_awCap_av.init,PATH_HERE/data_init/CDL-US-M_nonrice_irr_CDF_av.init,PATH_HERE/data_init/CDL-US-M_nonrice_irr_fr.init_av.init,,PATH_HERE/data_init/CDL-US-M_nonrice_irr_Kc.init_av.init,,,,
Rfd_crop,Rainfed_av,3,,,,,,,,PATH_HERE/data_init/CDL-US-M_rfd_awCap_av.init,0,PATH_HERE/data_init/CDL-US-M_rfd_fr.init_av.init,,PATH_HERE/data_init/CDL-US-M_rfd_Kc.init_av.init,,,,
